ID,name,genus,species,mass,TL,SL,BD,BW,CPW,muscleWhite,muscleRed,CoM,,mucusMass,caudalArea,analArea,dorsalArea,dorsalArea2,pelvicArea,bodyArea,pectArea,aluArea,barbArea,TotCaudalArea,TotAnalArea,TotDorsalArea,TotDorsalArea2,TotPelvicArea,TotPectArea,TotAlulArea,TotBodyArea,AllAluArea,AllBodArea,relMucusM,mucusProt,FStype,latency,s1Duration,s2Duration,distance,stimAngle,direction,turnAngle,turnRate,trajectory,turnRadius,Desc,relDesc,Umax,Amax,F_latency,F_s1Duration,F_s2Duration,F_distance,F_stimAngle,F_turnAngle,F_turnRate,F_trajectory,F_turnRadius,CHNmass,nitrogen,carbon,hydrogen,calories
MJ002,mela1,Hemigymnus,melapterus,124.2,19.4,15.2,6.06,2.59,0.51,21.8,0.2,NA,NA,114.1,20.066,8.135,13.872,NA,3.697,69.794,7.324,87.077,0,40.132,16.27,27.744,0,14.788,29.296,174.154,139.588,302.384,267.818,0.37733478,90.02912833,D,0.05,0.03,0.03,31.39,100.89,1,94.84,2845.08,169.2,1.26,6.18,0.32,221.2,93.34,0.04,0.04,0.03,32.51,0,117.4,2817.53,103.55,0.45,3.658,8.63,35.949,5.823,5237.219
MJ003,doli1,Siganus,doliatus,131.6,20.9,15.7,7.82,2.22,0.5,25.3,0.9,NA,NA,115.3,15.43,14.339,23.577,NA,2.474,84.236,10.699,94.88,0,30.86,28.678,47.154,0,9.896,42.796,189.76,168.472,349.144,327.856,0.330236235,20.56386939,D,0.02,0.03,0.03,20.96,100.51,1,47.23,1889.12,113.6,0.54,5.82,0.28,249.46,89.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.891,8.545,33.017,5.358,4791.639
MJ004,nigr1,Acanthurus,nigrofuscus,96.6,18.1,12.32,6.47,2.1,0.66,17.9,0.7,NA,NA,66.5,11.936,15.676,23.556,NA,2.79,61.703,7.076,76.669,0,23.872,31.352,47.112,0,11.16,28.304,153.338,123.406,295.138,265.206,0.225318326,162.959908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.935,8.425,35.577,5.611,5180.641
MJ005,cura1,Amblyglyphidodon,curacao,35.4,11.95,8.8,5.3,1.45,0.53,6.5,0.1,NA,NA,23.4,6.233,5.548,8.732,NA,1.894,33.978,4.774,39.849,0,12.466,11.096,17.464,0,7.576,19.096,79.698,67.956,147.396,135.654,0.158756004,75.43139053,D-,0.01,0.02,0.02,27.58,26.47,1,89.31,4286.88,108.79,0.72,6.47,0.54,146.59,87.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.355,7.395,33.118,5.222,4806.934
MJ006,mult1,Parupeneus,multifasciatus,59.8,17.2,14,3.9,2.04,0.67,11.5,0.2,NA,NA,72.3,9.544,3.522,3.762,3.93,3.364,39.078,5.366,50.497,1.904,19.088,7.044,7.524,7.86,13.456,21.464,100.994,78.156,179.334,156.496,0.403158353,112.2728199,D-,0.09,0.02,0.03,36.63,124.04,1,43.17,2072.26,167.34,1.01,5.52,0.32,112.87,57.48,0.04,0.02,0.03,23.14,11.92,72.16,3463.44,83.25,0.97,4.363,9.63,37.028,5.85,5401.293
MJ007,doli3,Siganus,doliatus,124.8,20,15.5,7.66,2.15,0.5,26.4,0.7,NA,NA,74.6,13.771,13.027,21.447,NA,2.721,90.316,8.753,104.312,0,27.542,26.054,42.894,0,10.884,35.012,208.624,180.632,351.01,323.018,0.212529558,101.4066301,D,0.02,0.03,0.02,35.3,54.33,1,45.12,1804.84,90.65,0.78,7.78,0.39,232.34,94.78,0.01,0.04,0.02,24.61,43.44,108.84,2902.32,44.76,1.06,4.254,9.617,37.103,5.898,5412.59
MJ008,doli4,Siganus,doliatus,156.8,20.9,17.1,8.03,2.31,0.57,30.4,1.1,NA,NA,112,16.041,14.278,24.284,NA,2.879,92.221,9.663,105.865,0,32.082,28.556,48.568,0,11.516,38.652,211.73,184.442,371.104,343.816,0.30180219,193.3569791,S,0.07,0.04,0.06,25.02,78.86,1,64.7,1552.9,160.32,0.59,3.57,0.17,130.85,83.47,0.02,0.03,0.04,24.74,33.63,59.87,2052.79,92.67,0.69,4.259,10.25,40.056,6.242,5861.496
MJ009,doli2,Siganus,doliatus,138.1,20.1,16.1,7.76,2.21,0.54,29.5,0.7,NA,NA,98.5,14.61,14.577,23.876,NA,2.899,80.09,9.672,90.72,0,29.22,29.154,47.752,0,11.596,38.688,181.44,160.18,337.85,316.59,0.291549504,136.0606446,D,0.03,0.03,0.03,38.06,125.89,1,51.72,2068.96,142.03,0.58,6.55,0.33,216.17,84.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.548,10.34,39.416,6.137,5764.299
MJ010,doli5,Siganus,doliatus,112.2,19.5,15.9,7.07,1.85,0.51,22.5,0.9,NA,NA,105.8,13.924,12.84,21.472,NA,2.288,76.611,8.918,85.7888275,0,27.848,25.68,42.944,0,9.152,35.672,171.577655,153.222,312.873655,294.518,0.338155669,177.1396327,D-,0.01,0.03,0.04,27.56,29.19,-1,62.3,2135.9,42.26,1.01,6.09,0.31,152,67.95,0.02,0.03,0.03,23.75,14.44,63.19,2527.64,76.15,0.79,4.447,9.528,36.069,5.776,5255.417
MJ011,doli7,Siganus,doliatus,115.2,18.4,15.2,7.87,1.92,0.56,23.4,0.9,NA,NA,NA,14.338,14.538,21.425,NA,2.754,82.595,8.56,NA,0,28.676,29.076,42.85,0,11.016,34.24,NA,165.19,NA,311.048,NA,NA,D,0.07,0.02,0.03,38.98,86.6,1,34.4,1651.34,103.57,0.63,6.46,0.35,203.07,107.81,0.02,0.03,0.03,21.87,14.78,50.48,2019.24,22.28,0.68,NA,NA,NA,NA,NA
