genus,species,TL,initiation,jolts,end,endType,duration,date,time,site,method,observer,jolts100sec
Chaetodon,baronessa,10,2,0,1,4,6,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,10,2,0,1,1,8,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,10,2,0,1,1,2,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,12,2,0,1,1,6,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,12,1,0,1,1,3,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,12,2,0,1,1,7,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,12,2,0,1,1,11,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,12,1,0,1,1,13,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,12,1,0,1,4,3,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,12,1,0,1,1,2,7_26_2014,9_00_00 AM,LIRS Front M,snorkeling,MJ,0.0
Chaetodon,baronessa,15,1,0,1,1,5,8_17_2014,9_40_00 AM,Palfrey-South,diving,MJ,0.0
Chaetodon,baronessa,13,2,1,1,1,6,8_17_2014,2_50_00 PM,Palfrey-South,diving,MJ,16.7
Chaetodon,baronessa,10,1,0,1,1,3,8_17_2014,2_50_00 PM,Palfrey-South,diving,DR,0.0
Chaetodon,baronessa,15,1,0,1,1,7,8_17_2014,2_50_00 PM,Palfrey-South,diving,DR,0.0
Chaetodon,baronessa,11,1,0,1,1,3,9_3_2014,9_15_00 AM,Big Vicky,diving,MJ,0.0
Chaetodon,baronessa,12,1,0,1,1,4,9_3_2014,2_00_00 PM,Big Vicky,diving,MJ,0.0
Chaetodon,baronessa,10,1,0,1,4,6,9_3_2014,9_15_00 AM,Big Vicky,diving,DR,0.0
Chaetodon,baronessa,10,1,0,1,4,13,9_3_2014,10_15_00 AM,Big Vicky,diving,DR,0.0
Chaetodon,baronessa,11,1,0,1,1,8,9_3_2014,10_15_00 AM,Big Vicky,diving,DR,0.0
Chaetodon,baronessa,9,1,0,1,1,1,9_3_2014,1_00_00 PM,Big Vicky,diving,DR,0.0
Chaetodon,baronessa,10,1,0,2,1,4,9_3_2014,2_00_00 PM,Big Vicky,diving,DR,0.0
Chaetodon,baronessa,10,1,0,1,4,3,9_3_2014,2_00_00 PM,Big Vicky,diving,DR,0.0
Chaetodon,baronessa,11,1,0,1,1,2,9_3_2014,2_00_00 PM,Big Vicky,diving,DR,0.0
Chaetodon,baronessa,11,1,0,1,1,9,9_7_2014,9_35_00 AM,Big Vicky,diving,MJ,0.0
Chaetodon,baronessa,12,1,1,2,2,2,9_7_2014,10_35_00 AM,Big Vicky,diving,MJ,50.0
Chaetodon,baronessa,12,1,0,1,1,3,9_7_2014,10_35_00 AM,Big Vicky,diving,MJ,0.0
Chaetodon,baronessa,10,1,0,1,1,1,9_7_2014,9_35_00 AM,Big Vicky,diving,DR,0.0
Chaetodon,baronessa,11,1,0,1,1,8,9_7_2014,10_35_00 AM,Big Vicky,diving,DR,0.0
Chaetodon,baronessa,10,1,0,1,1,3,9_7_2014,10_35_00 AM,Big Vicky,diving,DR,0.0
