genus,species,TL,initiation,jolts,termination,termType,duration,escapeDist,velocity,acceleration,turnRate,clientType,mucusWeight,mucusProt,mucusCal,parCm2,gnaCm2
Acanthurus,nigrofuscus,20,1,0,1,1,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,20,1,1,2,2,2,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,20,1,2,2,2,9,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,20,1,2,2,2,9,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,20,1,1,2,2,2,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,18,1,1,2,3,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,20,1,1,2,3,5,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,18,1,1,2,3,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,18,1,0,1,1,5,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,20,2,1,2,2,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,18,1,0,1,1,17,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,18,2,1,1,1,13,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,13,2,0,1,4,4,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,20,2,1,1,1,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,18,1,1,2,2,2,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,17,1,0,1,4,4,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,2,1,1,4,15,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,1,0,1,4,9,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,16,1,0,1,4,14,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,1,1,2,2,16,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,16,1,0,1,1,9,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,2,0,3,1,5,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,1,0,1,4,4,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,17,1,0,1,1,2,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,1,0,1,1,2,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,1,0,1,1,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,16,2,0,1,4,10,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,17,1,0,1,4,19,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,16,1,0,1,1,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,11,1,0,1,4,4,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,1,0,1,4,2,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,2,1,2,2,8,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,14,1,0,1,1,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,2,1,1,4,15,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,NA,0,1,1,4,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,17,1,0,1,4,6,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,2,1,2,4,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,10,2,0,1,4,10,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,18,1,1,1,1,5,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,18,1,1,1,1,7,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,21,2,1,2,2,3,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
Acanthurus,nigrofuscus,15,1,0,1,1,12,7.64,203.12,95.61,3855.88,2,0.28,176.90,5381.21,0.02806605,0.004036741
